Plant Name,Time,Production (W),From Grid(+)/To Grid(-) (W)
Wilkne,2025-01-01 00:00,0,0
Wilkne,2025-01-01 01:00,0,0
Wilkne,2025-01-01 02:00,0,0
Wilkne,2025-01-01 03:00,0,0
Wilkne,2025-01-01 04:00,0,0
Wilkne,2025-01-01 05:00,0,0
Wilkne,2025-01-01 05:30,50,0
Wilkne,2025-01-01 05:45,156,0
Wilkne,2025-01-01 06:00,312,0
Wilkne,2025-01-01 06:15,498,0
Wilkne,2025-01-01 06:30,732,0
Wilkne,2025-01-01 06:45,991,0
Wilkne,2025-01-01 07:00,1229,0
Wilkne,2025-01-01 07:15,1435,0
Wilkne,2025-01-01 07:30,1710,0
Wilkne,2025-01-01 07:45,1626,0
Wilkne,2025-01-01 08:00,2221,0
Wilkne,2025-01-01 08:15,2405,0
Wilkne,2025-01-01 08:30,2678,0
Wilkne,2025-01-01 08:45,2805,0
Wilkne,2025-01-01 09:00,1119,0
Wilkne,2025-01-01 09:15,3144,0
Wilkne,2025-01-01 09:30,3312,0
Wilkne,2025-01-01 09:45,3604,0
Wilkne,2025-01-01 10:00,3449,0
Wilkne,2025-01-01 10:15,3929,0
Wilkne,2025-01-01 10:30,2764,0
Wilkne,2025-01-01 10:45,4171,0
Wilkne,2025-01-01 11:00,4058,0
Wilkne,2025-01-01 11:15,4150,0
Wilkne,2025-01-01 11:30,4233,0
Wilkne,2025-01-01 11:45,1104,0
Wilkne,2025-01-01 12:00,1210,0
Wilkne,2025-01-01 12:15,1145,0
Wilkne,2025-01-01 12:30,3580,0
Wilkne,2025-01-01 12:45,3983,0
Wilkne,2025-01-01 13:00,3772,0
Wilkne,2025-01-01 13:15,1895,0
Wilkne,2025-01-01 13:30,3793,0
Wilkne,2025-01-01 13:45,3679,0
Wilkne,2025-01-01 14:00,1845,0
Wilkne,2025-01-01 14:15,3116,0
Wilkne,2025-01-01 14:30,917,0
Wilkne,2025-01-01 14:45,619,0
Wilkne,2025-01-01 15:00,2448,0
Wilkne,2025-01-01 15:15,2092,0
Wilkne,2025-01-01 15:30,583,0
Wilkne,2025-01-01 15:45,1488,0
Wilkne,2025-01-01 16:00,1320,0
Wilkne,2025-01-01 16:15,539,0
Wilkne,2025-01-01 16:30,279,0
Wilkne,2025-01-01 16:45,271,0
Wilkne,2025-01-01 17:00,211,0
Wilkne,2025-01-01 17:15,143,0
Wilkne,2025-01-01 17:30,71,0
Wilkne,2025-01-01 17:45,24,0
Wilkne,2025-01-01 18:45,0,0
Wilkne,2025-01-01 19:45,0,0
Wilkne,2025-01-01 20:45,0,0
Wilkne,2025-01-01 21:45,0,0
Wilkne,2025-01-01 22:45,0,0
Wilkne,2025-01-01 23:45,0,0
Wilkne,2025-01-01 00:45,0,0
Wilkne,2025-01-01 01:45,0,0
Wilkne,2025-01-01 02:45,0,0
Wilkne,2025-01-01 03:45,0,0
Wilkne,2025-01-01 04:45,0,0