 ,Produção (W)
2025-01-01 00:00,0
2025-01-01 01:00,0
2025-01-01 02:00,0
2025-01-01 03:00,0
2025-01-01 04:00,0
2025-01-01 05:00,0
2025-01-01 05:30,49
2025-01-01 05:45,155
2025-01-01 06:00,311
2025-01-01 06:15,497
2025-01-01 06:30,731
2025-01-01 06:45,990
2025-01-01 07:00,1228
2025-01-01 07:15,1435
2025-01-01 07:30,1709
2025-01-01 07:45,1626
2025-01-01 08:00,2221
2025-01-01 08:15,2405
2025-01-01 08:30,2678
2025-01-01 08:45,2805
2025-01-01 09:00,1118
2025-01-01 09:15,3143
2025-01-01 09:30,3311
2025-01-01 09:45,3603
2025-01-01 10:00,3449
2025-01-01 10:15,3928
2025-01-01 10:30,2763
2025-01-01 10:45,4170
2025-01-01 11:00,4058
2025-01-01 11:15,4149
2025-01-01 11:30,4232
2025-01-01 11:45,1103
2025-01-01 12:00,1209
2025-01-01 12:15,1144
2025-01-01 12:30,3579
2025-01-01 12:45,3982
2025-01-01 13:00,3772
2025-01-01 13:15,1894
2025-01-01 13:30,3793
2025-01-01 13:45,3679
2025-01-01 14:00,1844
2025-01-01 14:15,3116
2025-01-01 14:30,916
2025-01-01 14:45,618
2025-01-01 15:00,2447
2025-01-01 15:15,2091
2025-01-01 15:30,583
2025-01-01 15:45,1488
2025-01-01 16:00,1319
2025-01-01 16:15,538
2025-01-01 16:30,278
2025-01-01 16:45,271
2025-01-01 17:00,210
2025-01-01 17:15,142
2025-01-01 17:30,70
2025-01-01 17:45,23
2025-01-01 18:45,0
2025-01-01 19:45,0
2025-01-01 20:45,0
2025-01-01 21:45,0
2025-01-01 22:45,0
2025-01-01 23:45,0